iter	Passed	Remaining
971	13530	7349
972	13541	7334
973	13551	7318
974	13561	7302
975	13578	7290
976	13588	7274
977	13599	7258
978	13609	7242
979	13619	7226
980	13629	7210
981	13640	7195
982	13650	7179
983	13672	7169
984	13683	7154
985	13704	7144
986	13715	7128
987	13736	7118
988	13746	7102
989	13756	7086
990	13767	7071
991	13777	7055
992	13787	7039
993	13797	7023
994	13807	7008
995	13831	6999
996	13842	6983
997	13853	6968
998	13878	6959
999	13893	6946
1000	13909	6933
1001	13920	6918
1002	13941	6908
1003	13952	6892
1004	13973	6882
1005	13983	6866
1006	13993	6851
1007	14004	6835
1008	14020	6822
1009	14036	6809
1010	14052	6796
1011	14063	6781
1012	14074	6766
1013	14099	6757
1014	14115	6744
1015	14127	6730
1016	14145	6718
1017	14165	6706
1018	14177	6692
1019	14192	6678
1020	14203	6663
1021	14224	6652
1022	14234	6637
1023	14256	6626
1024	14266	6611
1025	14276	6595
1026	14287	6580
1027	14297	6564
1028	14308	6549
1029	14318	6533
1030	14329	6518
1031	14351	6508
1032	14370	6496
1033	14380	6481
1034	14398	6469
1035	14409	6453
1036	14419	6438
1037	14445	6429
1038	14461	6416
1039	14476	6403
1040	14492	6390
1041	14503	6374
1042	14523	6363
1043	14534	6348
1044	14544	6332
1045	14585	6330
1046	14596	6315
1047	14606	6299
1048	14633	6291
1049	14643	6275
1050	14654	6260
1051	14664	6245
1052	14675	6229
1053	14696	6218
1054	14712	6205
1055	14734	6195
1056	14744	6179
1057	14755	6164
1058	14775	6153
1059	14790	6139
1060	14806	6126
1061	14821	6112
1062	14836	6099
1063	14846	6083
1064	14867	6072
1065	14877	6057
1066	14898	6045
1067	14908	6030
1068	14930	6019
1069	14945	6006
1070	14961	5992
1071	14971	5977
1072	14992	5966
1073	15003	5951
1074	15013	5935
1075	15023	5920
1076	15034	5904
1077	15056	5894
1078	15072	5880
1079	15088	5867
1080	15098	5852
1081	15109	5837
1082	15119	5821
1083	15130	5806
1084	15141	5791
1085	15167	5782
1086	15183	5768
1087	15198	5755
1088	15228	5747
1089	15239	5732
1090	15249	5716
1091	15260	5701
1092	15271	5686
1093	15291	5674
1094	15307	5661
1095	15323	5648
1096	15334	5633
1097	15354	5621
1098	15364	5606
1099	15375	5590
1100	15389	5577
1101	15399	5561
1102	15410	5546
1103	15420	5531
1104	15433	5516
1105	15444	5501
1106	15465	5490
1107	15475	5475
1108	15497	5463
1109	15513	5450
1110	15528	5437
1111	15545	5423
1112	15560	5410
1113	15575	5397
1114	15591	5383
1115	15602	5368
1116	15613	5353
1117	15624	5338
1118	15639	5324
1119	15655	5311
1120	15665	5296
1121	15690	5286
1122	15700	5270
1123	15717	5257
1124	15734	5244
1125	15744	5229
1126	15755	5214
1127	15765	5199
1128	15775	5184
1129	15786	5169
1130	15796	5153
1131	15813	5140
1132	15823	5125
1133	15848	5115
1134	15858	5099
1135	15869	5084
1136	15879	5069
1137	15892	5055
1138	15903	5040
1139	15924	5028
1140	15934	5013
1141	15945	4998
1142	15955	4983
1143	15986	4974
1144	15997	4959
1145	16007	4944
1146	16018	4929
1147	16028	4914
1148	16039	4899
1149	16049	4884
1150	16065	4871
1151	16081	4857
1152	16097	4844
1153	16107	4829
1154	16128	4817
1155	16139	4802
1156	16150	4787
1157	16176	4777
1158	16186	4762
1159	16208	4750
1160	16218	4735
1161	16240	4723
1162	16250	4708
1163	16261	4694
1164	16272	4679
1165	16287	4665
1166	16297	4650
1167	16319	4638
1168	16329	4623
1169	16351	4611
1170	16367	4598
1171	16377	4583
1172	16388	4568
1173	16398	4553
1174	16409	4538
1175	16430	4526
1176	16440	4511
1177	16461	4499
1178	16472	4484
1179	16493	4472
1180	16508	4459
1181	16519	4444
1182	16529	4429
1183	16540	4414
1184	16550	4399
1185	16572	4387
1186	16582	4372
1187	16593	4357
1188	16603	4342
1189	16619	4329
1190	16635	4315
1191	16645	4301
1192	16656	4286
1193	16666	4271
1194	16676	4256
1195	16687	4241
1196	16697	4226
1197	16708	4211
1198	16718	4197
1199	16729	4182
1200	16739	4167
1201	16750	4152
1202	16761	4138
1203	16771	4123
1204	16793	4111
1205	16809	4097
1206	16819	4083
1207	16830	4068
1208	16840	4053
1209	16851	4038
1210	16861	4023
1211	16887	4012
1212	16898	3998
1213	16908	3983
1214	16935	3972
1215	16951	3959
1216	16962	3944
1217	16973	3929
1218	16984	3915
1219	16998	3901
1220	17014	3887
1221	17033	3874
1222	17043	3860
1223	17060	3847
1224	17076	3833
1225	17086	3818
1226	17108	3806
1227	17118	3791
1228	17129	3777
1229	17156	3766
1230	17166	3751
1231	17176	3736
1232	17187	3721
1233	17203	3708
1234	17219	3694
1235	17235	3681
1236	17251	3667
1237	17267	3654
1238	17283	3640
1239	17293	3626
1240	17304	3611
1241	17330	3600
1242	17341	3585
1243	17362	3573
1244	17373	3558
1245	17394	3545
1246	17413	3533
1247	17424	3518
1248	17440	3504
1249	17455	3491
1250	17466	3476
1251	17476	3461
1252	17487	3447
1253	17503	3433
1254	17513	3418
1255	17523	3404
1256	17534	3389
1257	17551	3376
1258	17561	3361
1259	17571	3346
1260	17582	3332
1261	17598	3318
1262	17608	3304
1263	17630	3291
1264	17662	3281
1265	17672	3266
1266	17682	3251
1267	17693	3237
1268	17703	3222
1269	17713	3208
1270	17724	3193
1271	17741	3180
1272	17756	3166
1273	17772	3152
1274	17788	3139
1275	17798	3124
1276	17808	3109
1277	17819	3095
1278	17829	3080
1279	17839	3066
1280	17851	3051
1281	17867	3038
1282	17877	3023
1283	17888	3009
1284	17898	2994
1285	17909	2980
1286	17946	2970
1287	17962	2956
1288	17978	2942
1289	17994	2929
1290	18010	2915
1291	18021	2901
1292	18042	2888
1293	18052	2873
1294	18063	2859
1295	18074	2845
1296	18084	2830
1297	18095	2816
1298	18121	2804
1299	18137	2790
1300	18152	2776
1301	18163	2762
1302	18173	2747
1303	18184	2733
1304	18200	2719
1305	18216	2705
1306	18226	2691
1307	18248	2678
1308	18258	2664
1309	18269	2649
1310	18296	2637
1311	18311	2623
1312	18327	2610
1313	18343	2596
1314	18359	2582
1315	18370	2568
1316	18380	2554
1317	18407	2541
1318	18417	2527
1319	18428	2512
1320	18455	2500
1321	18471	2487
1322	18481	2472
1323	18492	2458
1324	18503	2443
1325	18516	2429
1326	18526	2415
1327	18547	2402
1328	18557	2387
1329	18610	2378
1330	18620	2364
1331	18630	2349
1332	18641	2335
1333	18651	2320
1334	18673	2307
1335	18689	2294
1336	18705	2280
1337	18715	2266
1338	18726	2251
1339	18736	2237
1340	18746	2222
1341	18757	2208
1342	18784	2195
1343	18794	2181
1344	18804	2167
1345	18815	2152
1346	18825	2138
1347	18845	2124
1348	18861	2111
1349	18871	2096
1350	18891	2083
1351	18902	2069
1352	18912	2054
1353	18923	2040
1354	18943	2027
1355	18953	2012
1356	18963	1998
1357	18986	1985
1358	18996	1970
1359	19018	1957
1360	19028	1943
1361	19049	1930
1362	19060	1915
1363	19070	1901
1364	19080	1887
1365	19097	1873
1366	19112	1859
1367	19144	1847
1368	19160	1833
1369	19170	1819
1370	19191	1805
1371	19206	1791
1372	19216	1777
1373	19253	1765
1374	19263	1751
1375	19274	1736
1376	19301	1724
1377	19311	1709
1378	19331	1696
1379	19361	1683
1380	19372	1669
1381	19382	1654
1382	19408	1641
1383	19419	1627
1384	19429	1613
1385	19439	1598
1386	19450	1584
1387	19460	1570
1388	19472	1556
1389	19488	1542
1390	19498	1527
1391	19508	1513
1392	19519	1499
1393	19535	1485
1394	19545	1471
1395	19567	1457
1396	19578	1443
1397	19588	1429
1398	19599	1414
1399	19609	1400
1400	19620	1386
1401	19630	1372
1402	19641	1357
1403	19652	1343
1404	19662	1329
1405	19673	1315
1406	19694	1301
1407	19710	1287
1408	19720	1273
1409	19730	1259
1410	19741	1245
1411	19751	1230
1412	19761	1216
1413	19772	1202
1414	19788	1188
1415	19798	1174
1416	19809	1160
1417	19819	1146
1418	19830	1131
1419	19840	1117
1420	19867	1104
1421	19883	1090
1422	19894	1076
1423	19905	1062
1424	19915	1048
1425	19937	1034
1426	19947	1020
1427	19964	1006
1428	19974	992
1429	19985	978
1430	20007	964
1431	20023	950
1432	20034	936
1433	20055	923
1434	20071	909
1435	20081	894
1436	20091	880
1437	20102	866
1438	20112	852
1439	20134	838
1440	20150	825
1441	20160	810
1442	20182	797
1443	20192	783
1444	20214	769
1445	20224	755
1446	20234	741
1447	20244	727
1448	20255	712
1449	20276	699
1450	20292	685
1451	20308	671
1452	20320	657
1453	20355	643
1454	20366	629
1455	20376	615
